# File: FlockThesis/ephem_FlockTLE.dat
#
# Ephemeris generated from TLE input file: C:/Users/jonat/OneDrive/Documents/MATLAB/ThesisCode/SatObs/SGP4_matlab/FlockTLE.txt
# Propagator: SatEph
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re)
56658.53356481,-0.30345579,0.14759423,1.06024768
56658.53368056,-0.31069459,0.15624833,1.05691225
56658.53379630,-0.31789880,0.16488504,1.05345888
56658.53391204,-0.32506765,0.17350338,1.04988796
56658.53402778,-0.33220031,0.18210242,1.04619988
56658.53414352,-0.33929601,0.19068118,1.04239505
56658.53425926,-0.34635395,0.19923872,1.03847389
56658.53437500,-0.35337334,0.20777407,1.03443684
56658.53449074,-0.36035340,0.21628629,1.03028433
56658.53460648,-0.36729335,0.22477443,1.02601685
56658.53472222,-0.37419242,0.23323755,1.02163485
56658.53483796,-0.38104984,0.24167470,1.01713883
56658.53495370,-0.38786485,0.25008495,1.01252928
56658.53506944,-0.39463669,0.25846735,1.00780671
56658.53518519,-0.40136459,0.26682097,1.00297165
56658.53530093,-0.40804782,0.27514488,0.99802464
56658.53541667,-0.41468562,0.28343816,0.99296623
56658.53553241,-0.42127726,0.29169988,0.98779697
56658.53564815,-0.42782200,0.29992911,0.98251744
56658.53576389,-0.43431911,0.30812495,0.97712823
56658.53587963,-0.44076786,0.31628648,0.97162994
56658.53599537,-0.44716754,0.32441278,0.96602317
56658.53611111,-0.45351744,0.33250296,0.96030856
56658.53622685,-0.45981683,0.34055611,0.95448673
56658.53634259,-0.46606503,0.34857133,0.94855833
56658.53645833,-0.47226133,0.35654773,0.94252402
56658.53657407,-0.47840505,0.36448443,0.93638448
56658.53668981,-0.48449549,0.37238053,0.93014037
56658.53680556,-0.49053198,0.38023515,0.92379241
56658.53692130,-0.49651384,0.38804742,0.91734129
56658.53703704,-0.50244040,0.39581647,0.91078774
56658.53715278,-0.50831101,0.40354144,0.90413248
56658.53726852,-0.51412501,0.41122145,0.89737624
56658.53738426,-0.51988174,0.41885566,0.89051980
56658.53750000,-0.52558058,0.42644320,0.88356390
56658.53761574,-0.53122087,0.43398325,0.87650931
56658.53773148,-0.53680199,0.44147494,0.86935684
56658.53784722,-0.54232332,0.44891746,0.86210727
56658.53796296,-0.54778423,0.45630996,0.85476140
56658.53807870,-0.55318413,0.46365163,0.84732006
56658.53819444,-0.55852241,0.47094163,0.83978408
56658.53831019,-0.56379846,0.47817917,0.83215430
56658.53842593,-0.56901170,0.48536344,0.82443156
56658.53854167,-0.57416156,0.49249362,0.81661672
56658.53865741,-0.57924744,0.49956893,0.80871066
56658.53877315,-0.58426879,0.50658857,0.80071425
56658.53888889,-0.58922504,0.51355177,0.79262840
56658.53900463,-0.59411564,0.52045774,0.78445399
56658.53912037,-0.59894005,0.52730571,0.77619194
56658.53923611,-0.60369772,0.53409492,0.76784317
56658.53935185,-0.60838812,0.54082462,0.75940862
56658.53946759,-0.61301072,0.54749404,0.75088921
56658.53958333,-0.61756502,0.55410245,0.74228591
56658.53969907,-0.62205050,0.56064911,0.73359967
56658.53981481,-0.62646666,0.56713328,0.72483146
56658.53993056,-0.63081301,0.57355425,0.71598226
56658.54004630,-0.63508905,0.57991130,0.70705305
56658.54016204,-0.63929432,0.58620371,0.69804484
56658.54027778,-0.64342834,0.59243078,0.68895862
56658.54039352,-0.64749066,0.59859183,0.67979541
56658.54050926,-0.65148081,0.60468615,0.67055623
56658.54062500,-0.65539835,0.61071307,0.66124212
56658.54074074,-0.65924284,0.61667193,0.65185411
56658.54085648,-0.66301385,0.62256204,0.64239326
56658.54097222,-0.66671097,0.62838276,0.63286061
56658.54108796,-0.67033377,0.63413343,0.62325724
56658.54120370,-0.67388186,0.63981342,0.61358421
56658.54131944,-0.67735483,0.64542209,0.60384260
56658.54143519,-0.68075230,0.65095881,0.59403351
56658.54155093,-0.68407389,0.65642296,0.58415802
56658.54166667,-0.68731923,0.66181394,0.57421725
56658.54178241,-0.69048795,0.66713114,0.56421229
56658.54189815,-0.69357971,0.67237398,0.55414428
56658.54201389,-0.69659415,0.67754186,0.54401433
56658.54212963,-0.69953094,0.68263420,0.53382358
56658.54224537,-0.70238975,0.68765045,0.52357316
56658.54236111,-0.70517026,0.69259004,0.51326421
56658.54247685,-0.70787216,0.69745242,0.50289791
56658.54259259,-0.71049515,0.70223704,0.49247539
56658.54270833,-0.71303894,0.70694338,0.48199782
56658.54282407,-0.71550325,0.71157091,0.47146638
56658.54293981,-0.71788779,0.71611911,0.46088225
56658.54305556,-0.72019230,0.72058748,0.45024660
56658.54317130,-0.72241653,0.72497551,0.43956062
56658.54328704,-0.72456023,0.72928273,0.42882552
56658.54340278,-0.72662316,0.73350864,0.41804248
56658.54351852,-0.72860509,0.73765278,0.40721272
56658.54363426,-0.73050579,0.74171469,0.39633744
56658.54375000,-0.73232507,0.74569392,0.38541787
56658.54386574,-0.73406271,0.74959002,0.37445521
56658.54398148,-0.73571852,0.75340255,0.36345071
56658.54409722,-0.73729232,0.75713110,0.35240558
56658.54421296,-0.73878394,0.76077525,0.34132106
56658.54432870,-0.74019320,0.76433460,0.33019840
56658.54444444,-0.74151995,0.76780874,0.31903883
56658.54456019,-0.74276406,0.77119730,0.30784361
56658.54467593,-0.74392537,0.77449989,0.29661398
56658.54479167,-0.74500375,0.77771615,0.28535120
56658.54490741,-0.74599911,0.78084573,0.27405653
56658.54502315,-0.74691131,0.78388827,0.26273123
56658.54513889,-0.74774026,0.78684344,0.25137658
56658.54525463,-0.74848588,0.78971091,0.23999383
56658.54537037,-0.74914808,0.79249036,0.22858426
56658.54548611,-0.74972678,0.79518149,0.21714915
56658.54560185,-0.75022193,0.79778400,0.20568977
56658.54571759,-0.75063347,0.80029760,0.19420741
56658.54583333,-0.75096136,0.80272201,0.18270336
56658.54594907,-0.75120557,0.80505696,0.17117888
56658.54606481,-0.75136606,0.80730221,0.15963528
56658.54618056,-0.75144284,0.80945749,0.14807385
56658.54629630,-0.75143587,0.81152258,0.13649587
56658.54641204,-0.75134519,0.81349724,0.12490264
56658.54652778,-0.75117078,0.81538127,0.11329546
56658.54664352,-0.75091269,0.81717444,0.10167562
56658.54675926,-0.75057093,0.81887657,0.09004442
56658.54687500,-0.75014555,0.82048748,0.07840316
56658.54699074,-0.74963661,0.82200697,0.06675315
56658.54710648,-0.74904416,0.82343490,0.05509568
56658.54722222,-0.74836826,0.82477110,0.04343206
56658.54733796,-0.74760901,0.82601542,0.03176358
56658.54745370,-0.74676649,0.82716775,0.02009156
56658.54756944,-0.74584079,0.82822794,0.00841729
56658.54768519,-0.74483202,0.82919589,-0.00325792
56658.54780093,-0.74374030,0.83007149,-0.01493276
56658.54791667,-0.74256576,0.83085466,-0.02660594
56658.54803241,-0.74130853,0.83154530,-0.03827615
56658.54814815,-0.73996875,0.83214334,-0.04994208
56658.54826389,-0.73854657,0.83264874,-0.06160244
56658.54837963,-0.73704217,0.83306142,-0.07325592
56658.54849537,-0.73545571,0.83338136,-0.08490123
56658.54861111,-0.73378737,0.83360852,-0.09653706
56658.54872685,-0.73203734,0.83374288,-0.10816211
56658.54884259,-0.73020583,0.83378443,-0.11977510
56658.54895833,-0.72829304,0.83373318,-0.13137472
56658.54907407,-0.72629919,0.83358913,-0.14295967
56658.54918981,-0.72422450,0.83335231,-0.15452868
56658.54930556,-0.72206922,0.83302274,-0.16608044
56658.54942130,-0.71983359,0.83260048,-0.17761368
56658.54953704,-0.71751785,0.83208558,-0.18912709
56658.54965278,-0.71512228,0.83147809,-0.20061942
56658.54976852,-0.71264715,0.83077809,-0.21208936
56658.54988426,-0.71009273,0.82998568,-0.22353564
56658.55000000,-0.70745932,0.82910093,-0.23495699
56658.55011574,-0.70474721,0.82812396,-0.24635214
56658.55023148,-0.70195672,0.82705488,-0.25771982
56658.55034722,-0.69908816,0.82589381,-0.26905876
56658.55046296,-0.69614184,0.82464090,-0.28036770
56658.55057870,-0.69311812,0.82329629,-0.29164538
56658.55069444,-0.69001732,0.82186014,-0.30289054
56658.55081019,-0.68683980,0.82033260,-0.31410194
56658.55092593,-0.68358592,0.81871387,-0.32527833
56658.55104167,-0.68025605,0.81700412,-0.33641846
56658.55115741,-0.67685055,0.81520356,-0.34752109
56658.55127315,-0.67336982,0.81331238,-0.35858500
56658.55138889,-0.66981426,0.81133082,-0.36960895
