Device Name,Shielding,Storm Level,Upset Rate/Bit/Orbit,Probability of Survival/Bit/Mission,Upset Rate/Device/Orbit,Probability of Survival/Device/Mission
Xilinx Kintex-7 blockRAM,100,4.5,7.20E-07,0.999999,11.5273,9.86E-06
UltraScale XQRKU060 Config,100,4.5,5.47E-08,1,0.0396745,0.961102
UltraScale XQRKU060 blockRAM,100,4.5,8.83E-08,1,3.35368,0.0349556
Xilinx UltraScale XCKU040 ConfigMem,200,4.5,9.00E-09,1,0.0047738,0.99524
Xilinx UltraScale XCKU040 BlockRAM,200,4.5,1.25E-08,1,0.26978,0.76355
Xilinx Kintex-7 Config Mem,200,4.5,4.60E-09,1,0.0015007,0.9985
Xilinx Kintex-7 blockRAM,200,4.5,1.99E-07,1,3.1828,0.041471
UltraScale XQRKU060 Config,200,4.5,1.52E-08,1,0.011004,0.98906
UltraScale XQRKU060 blockRAM,200,4.5,2.39E-08,1,0.90747,0.40354
Xilinx UltraScale XCKU040 ConfigMem,300,4.5,4.42E-09,1,0.0023454,0.99766
Xilinx UltraScale XCKU040 BlockRAM,300,4.5,6.07E-09,1,0.13109,0.87714
Xilinx Kintex-7 Config Mem,300,4.5,2.16E-09,1,0.00070279,0.9993
Xilinx Kintex-7 blockRAM,300,4.5,9.85E-08,1,1.5753,0.20694
UltraScale XQRKU060 Config,300,4.5,7.52E-09,1,0.0054571,0.99456
UltraScale XQRKU060 blockRAM,300,4.5,1.18E-08,1,0.44652,0.63985
Xilinx UltraScale XCKU040 ConfigMem,5,5,5.88E-05,0.999941228,31.1649704,2.92E-14
Xilinx UltraScale XCKU040 BlockRAM,5,5,0.000117653,0.999882354,2542.00041,0
Xilinx Kintex-7 Config Mem,5,5,8.45E-05,0.999915465,27.5595204,1.07E-12
Xilinx Kintex-7 blockRAM,5,5,0.000941545,0.999058898,15064.7201,0
UltraScale XQRKU060 Config,5,5,7.52E-05,0.999924829,54.542093,2.05E-24
UltraScale XQRKU060 blockRAM,5,5,0.000124834,0.999875174,4743.68755,0
Xilinx UltraScale XCKU040 ConfigMem,10,5,1.77E-05,0.99998227,9.402528,8.25E-05
Xilinx UltraScale XCKU040 BlockRAM,10,5,3.38E-05,0.99996616,731.2502,2.642856e-318
Xilinx Kintex-7 Config Mem,10,5,2.34E-05,0.99997659,7.6309249,0.000485212
Xilinx Kintex-7 blockRAM,10,5,0.000298291,0.99970175,4772.6544,0
UltraScale XQRKU060 Config,10,5,2.37E-05,0.99997625,17.230018,3.29E-08
UltraScale XQRKU060 blockRAM,10,5,3.92E-05,0.99996078,1490.539,0
Xilinx UltraScale XCKU040 ConfigMem,30,5,2.07E-06,0.9999979,1.099115,0.3331659
Xilinx UltraScale XCKU040 BlockRAM,30,5,3.42E-06,0.9999966,73.78465,9.03E-33
Xilinx Kintex-7 Config Mem,30,5,1.95E-06,0.9999981,0.6351712,0.5298448
Xilinx Kintex-7 blockRAM,30,5,4.00E-05,0.99996,640.7046,5.57E-279
UltraScale XQRKU060 Config,30,5,3.09E-06,0.9999969,2.245219,0.1059044
UltraScale XQRKU060 blockRAM,30,5,5.14E-06,0.9999949,195.3372,1.47E-85
Xilinx UltraScale XCKU040 ConfigMem,50,5,6.98E-07,0.9999993,0.3699056,0.6907995
Xilinx UltraScale XCKU040 BlockRAM,50,5,1.05E-06,0.9999989,22.75088,1.32E-10
Xilinx Kintex-7 Config Mem,50,5,4.97E-07,0.9999995,0.1621099,0.8503477
Xilinx Kintex-7 blockRAM,50,5,1.45E-05,0.9999855,231.7569,2.23E-101
UltraScale XQRKU060 Config,50,5,1.10E-06,0.9999989,0.7991405,0.4497153
